"cod_cent";"id";"nombre";"tipo_elem";"x";"y"
"PM20233";6719;"PM20233";"M30";443364,217013281;4479753,76247714
"PM10766";6669;"PM10766";"M30";443977,811982468;4474303,0821054
"PM20321";6722;"PM20321";"M30";443730,840669239;4478716,61127334
"PM22241";6768;"PM22241";"M30";437124,832814767;4477857,17383749
"PM22391";3558;"PM22391";"M30";436707,686954068;4479240,46560805
"PM30902";3838;"PM30902";"M30";443641,982885363;4473049,54661457
"PM31263";3839;"PM31263";"M30";441288,885340061;4470234,1849096
"PM31264";6777;"PM31264";"M30";441281,426558726;4470236,55811348
"PM31301";7127;"PM31301";"M30";441009,926238414;4469376,78806024
"PM41801";6794;"PM41801";"M30";436934,057174736;4473341,40195543
"PM41861";10208;"PM41861";"M30";434582,936063445;4471817,47426996
"PM40012";10200;"PM40012";"M30";444101,387460807;4483778,78586848
"PM40014";10201;"PM40014";"M30";444114,842329551;4483769,72163007
"PM40018";10199;"PM40018";"M30";444094,720773959;4483781,59184023
"PM40951";10204;"PM40951";"M30";444885,857712877;4472455,20742338
"PM40952";10203;"PM40952";"M30";444897,495391882;4472471,87522435
"PM12471";6696;"PM12471";"M30";436444,350181732;4479985,54629291
"PM40956";10202;"PM40956";"M30";444908,727600475;4472471,80429751
"PM20854";7126;"PM20854";"M30";443898,318727992;4473791,07302303
"PM41201";10205;"PM41201";"M30";441926,096868594;4469821,26242115
"PM31891";6949;"PM31891";"M30";432749,972766504;4470038,75145112
"PM20948";10178;"PM20948";"M30";443485,674025948;4472781,2102924
"PM22502";6697;"PM22502";"M30";436352,519327994;4480348,95525857
"PM41202";10207;"PM41202";"M30";441933,679572777;4469827,54298075
"13NC25PM01";6872;"13NC25PM01";"M30";441172,970558168;4471311,53900864
"13NC95PM01";6871;"13NC95PM01";"M30";440431,064008085;4471780,59565238
"13NL60PM01";1020;"13NL60PM01";"M30";440751,953280192;4471221,23126924
"13XC26PM01";6873;"13XC26PM01";"M30";440943,733735965;4471422,7092251
"13XL49PM01";1019;"13XL49PM01";"M30";440866,291143702;4470983,1387667
"PM10533";10172;"PM10533";"M30";444069,276172202;4476696,0011652
"PM10865";3493;"PM10865";"M30";443740,190475935;4473602,59873257
"PM13181";6711;"PM13181";"M30";442306,196584557;4481615,71687789
"PM21307";3531;"PM21307";"M30";441219,105042061;4470584,35884084
"15XC54PM01";6853;"15XC54PM01";"M30";439370,05287182;4472308,70263317
"PM13101";6708;"PM13101";"M30";441664,754912105;4481626,83173111
"PM10831";3815;"PM10831";"M30";443913,62601134;4473931,04483769
"15XL49PM01";6854;"15XL49PM01";"M30";439372,635687872;4472285,97302825
"90ET43PM01";6889;"90ET43PM01";"M30";441722,372671981;4470407,63435378
"PM40755";3826;"PM40755";"M30";444420,166905775;4474343,28012666
"PM10447";6658;"PM10447";"M30";443877,096541017;4477413,68715626
"PM21941";3532;"PM21941";"M30";438007,768474851;4475139,9834495
"PM22081";3533;"PM22081";"M30";437379,047988281;4476210,19655807
"PM31892";6950;"PM31892";"M30";432743,455095201;4470045,56154983
"PM33151";6785;"PM33151";"M30";441926,368910227;4481353,8296282
"PM10501";3818;"PM10501";"M30";444087,17664981;4476901,52954299
"PM10611";3799;"PM10611";"M30";443949,070179546;4475815,19251265
"PM10593";10173;"PM10593";"M30";443977,628135482;4476083,74129309
"PM22211";6767;"PM22211";"M30";437276,142075785;4477298,8992479
"PM22392";3559;"PM22392";"M30";436693,686456049;4479233,13310683
"PM22471";6769;"PM22471";"M30";436432,204311454;4479965,65863379
"PM22571";3597;"PM22571";"M30";436784,142289486;4480692,56926986
"PM22572";6816;"PM22572";"M30";436597,033282132;4480698,17154897
