zone;int;intmax;%;x;y;name
24;103;1500;6,87;434064,315792798;4477951,65821705;(TACTICO) VALLE PAS O-E
24;51;1500;3,40;434089,425760774;4477959,94388385;(TACTICO) VALLE PAS E-O (GIRO)
58;0;1200;0,00;429113,259520388;4480775,52156369;(TACTICO)AV. ESTACION O-E
58;0;1200;0,00;429463,72399598;4480598,1500608;(TACTICO)FEDERICO AGUSTIN O-E
58;0;1200;0,00;429472,554132415;4480642,76929223;(TACTICO)FEDERICO AGUSTIN E-O
58;45;1100;4,09;429703,251569055;4480527,83601166;(TACTICO)GINES NAVARRO E-O
58;45;1500;3,00;430427,733673941;4480160,63654959;(TACTICO)VIRGEN OLMOS E-O
58;360;1800;20,00;429135,799607027;4480784,93321025;AV. VICTORIA N-S(AV. ESTACIÓN-FEDIRICO AGUSTI)
58;495;1500;33,00;430411,330263208;4480142,30090019;AV.VICTORIA S-N(V.OLMOS -P. ANDRADE)
58;315;1500;21,00;429055,94734621;4480824,19091334;AV. VICTORIA N-S(PADRE HUIDOBRO-AV. ESTACION)
58;315;1500;21,00;430517,55367067;4480087,5389321;AV.VICTORIA S-N(D.GARRIDO-V.OLMOS)
24;315;3000;10,50;432886,119452711;4479261,41926316;CNO. DEL BARRIAL N-S (A6-ANA TERESA)
24;90;1500;6,00;433041,738178079;4479282,56731585;ALMANZORA E-O (ANTARES-C.BARRIAL)
24;135;3000;4,50;433030,021135936;4479166,2785749;CNO. BARRIAL S-N (OSA MAYOR-ANA TERESA)
24;0;1500;0,00;432944,976150562;4479189,05135494;ALMANZORA O-E(CINCO LAGUNAS-C.BARRIAL)
24;225;3000;7,50;433135,12729271;4479055,38003174;PICO OCEJON N-S (ANA TERESA-OSA MAYOR)
24;45;1500;3,00;433117,867648231;4478939,90320121;OSA MAYOR ENTRE ARANDIGA Y PICO OCEJON
24;45;1500;3,00;433109,24615297;4478937,0931571;OSA MAYOR O-E (PICO OCEJON-ARANDIGA)
24;45;3000;1,50;433244,761800443;4478935,40737463;PICO OCEJON S-N (ACAMAR-OSA MAYOR)
24;90;1500;6,00;433535,098918108;4479344,67360252;PLEYADES N-S(ARAIZ-ANA TERESA)
24;90;1500;6,00;433524,832546177;4479141,87532673;PLEYADES S-N(ESTUDIO-ANA TERESA)
24;225;1500;15,00;433614,045022678;4479190,64009932;ANA TERESA E-O(ARDALES-PLEYADES)
24;0;1500;0,00;433448,139893046;4479270,37645523;ANA TERESA O-E(A. VINDEL-PLEYADES)
24;270;1500;18,00;433533,217382457;4479260,0361476;(TACTICO) PLEYADES S-N(ANA TERESA-ARAIZ)
24;15;1500;1,00;434241,039273881;4478272,67120699;(TACTICO)COVATILLAS N-S (GIRO)
24;19;1500;1,27;434245,449523896;4478234,68997349;(TACTICO)COVATILLAS S-N
